edge_id,x_start,y_start,x_end,y_end,lon_start,lat_start,lon_end,lat_end
-163148288#1,135.83,507.71,123.88,1052.46,-87.64051386133664,41.86221567131948,-87.6407028104313,41.86712231891592
-185528581#1,1431.58,848.23,1430.05,1062.43,-87.62492785705521,41.86537101394473,-87.62496396810928,41.8673005610363
-435381803#0,241.58,1051.87,249.69,640.89,-87.63928444823138,41.8671249719526,-87.6391528097679,41.86342315015515
-435381806#1,237.62,1099.53,244.28,1082.91,-87.6393360997379,41.86755405564436,-87.63925447376604,41.8674047829221
-435381809#0,126.66,1100.99,123.64,1358.61,-87.6406733150907,41.86755969641349,-87.64073096369971,41.86988029777929
-435561323,1492.79,1024.72,1499.22,588.56,-87.6242048243606,41.86696509263994,-87.62409135263873,41.863036319555576
-435561326#0,1492.67,1062.34,1495.89,1032.82,-87.62420937451097,41.86730398954984,-87.62416813696098,41.86703827248918
-435834767,240.37,1414.39,243.96,1107.63,-87.63932894146598,41.87039070218047,-87.63926036955326,41.8676274548373
-435834768#0,126.83,1083.03,123.54,1093.01,-87.6406697846245,41.867397912749325,-87.64071025339666,41.86748759624707
-625621676#0,1429.63,1091.04,1428.09,1284.02,-87.62497138989445,41.86755826979093,-87.62500587053512,41.869296652866446
-740147205#0,1356.92,1038.28,1359.88,628.2,-87.62584320965041,41.867078051578055,-87.625773704196,41.863383988908346
-740147205#1,1356.75,1062.61,1356.86,1046.28,-87.6258472657214,41.867297220278495,-87.62584459276518,41.86715011663548
1000784669#1,108.35,1074.35,-228.24,1072.05,-87.64089175689328,41.86731846668329,-87.64494755816686,41.86727496011392
1029341655#1,805.99,1088.4,818.2,1383.27,-87.63248618516312,41.86749226737888,-87.63236338217371,41.870149471632494
1243008255,741.14,1080.56,333.13,1071.62,-87.6332669964774,41.86741724938274,-87.63818287817215,41.86730909040483
143926851#1,1368.72,1072.0,1421.25,1074.54,-87.62570379911382,41.86738262176049,-87.62507100946814,41.86740905991736
163148288#1,120.68,1052.4,129.43,507.68,-87.64074136625588,41.86712156176176,-87.64059098041191,41.86221496778876
163148368#1,259.88,1058.18,283.19,1064.88,-87.63906444945152,41.86718305535626,-87.63878411113767,41.86724499129987
185528581#1,1426.85,1062.4,1428.38,848.23,-87.62500252640925,41.86730007414134,-87.62496641783055,41.86537079730897
23887479,325.11,1076.37,290.71,1069.85,-87.63827991304981,41.86735133850106,-87.63869390340291,41.86729027333432
277219207#0,1016.69,1085.55,983.41,1075.2,-87.62994696395191,41.867480856866266,-87.63034714201066,41.86738536443115
294592601#1,1231.66,1093.64,1227.97,1271.94,-87.62735719089318,41.86756828994771,-87.62741636827086,41.86917428063707
294592601#2,1231.17,1271.96,1227.92,1280.37,-87.62737780914578,41.86917467744564,-87.62741766636358,41.86925022008665
314011259#1,1515.17,1071.48,1867.84,1075.07,-87.62393899822393,41.86738785173892,-87.6196895354955,41.8674440680485
314011263#2,1509.39,1095.05,1503.57,1360.4,-87.62401059344464,41.867599794083446,-87.62410262055391,41.86998984267953
377897003#1,132.78,1058.22,195.21,1065.64,-87.64059603854707,41.86717481120007,-87.63984435416387,41.86724588173664
377897004#1,232.39,1074.47,169.13,1070.99,-87.63939705474114,41.86732794506392,-87.6401590659248,41.86729231237872
421101869#1,1218.0,1060.97,1222.84,892.13,-87.62751910151859,41.86727305291765,-87.62744684693078,41.8657523618154
435381803#0,259.29,641.0,247.98,1051.99,-87.6390371365183,41.86342479101284,-87.63920733658223,41.86712648626092
435381806#1,250.67,1083.01,247.22,1099.68,-87.63917748096907,41.86740611638064,-87.6392204297888,41.86755605684764
435381809#0,117.24,1358.61,120.26,1100.99,-87.64080808525037,41.86987986450776,-87.64075043664134,41.86755926314196
435381825#0,161.13,1077.38,132.62,1067.83,-87.64025599511818,41.86734933599839,-87.64059875953123,41.867261373397895
435381826#0,203.21,1057.68,232.42,1067.09,-87.63974729542583,41.86717471455231,-87.63939608429142,41.86726146333229
435381827#0,282.68,1077.82,259.74,1067.98,-87.63879132447335,41.867361528574094,-87.63906694510821,41.867271330549656
435381830#0,-307.24,1059.31,108.33,1064.58,-87.64589847609817,41.86715484184591,-87.64089119175074,41.86723045091731
435542901#1,1237.76,1068.95,1309.54,1076.35,-87.62728164718091,41.86734627959005,-87.62641729138204,41.86741780293646
435542902#0,1278.2,1088.14,1237.61,1078.42,-87.6267959187981,41.86752189312457,-87.62728423611088,41.86743158125528
435542903#0,1317.53,1068.34,1345.32,1077.83,-87.62632034902079,41.86734618464313,-87.62598625583144,41.86743355798218
435542910#0,1236.36,735.32,1225.87,1061.04,-87.6272709888656,41.86434063227589,-87.62742427188765,41.86727421631103
435542913#0,1215.45,1394.02,1222.77,1093.8,-87.62757731043368,41.87027320781089,-87.62746433074913,41.867569129488864
435542918#1,788.84,1082.99,749.23,1075.97,-87.63269240042561,41.86744236960462,-87.63316913128477,41.86737644740781
435542919,1210.96,1085.9,1160.84,1079.17,-87.62760599226162,41.86749716171214,-87.62820939509588,41.86743314050781
435542920,1175.79,1066.41,1210.93,1076.14,-87.6280281911138,41.86731920235767,-87.62760554844662,41.86740923535557
435542921#0,902.24,1063.31,959.47,1073.38,-87.6313242791034,41.86727275660094,-87.63063547463828,41.86736734800019
435542922#0,894.44,1082.85,811.52,1075.13,-87.63141988328803,41.86744825737527,-87.63241845238201,41.86737309710084
435542924#1,983.77,1062.64,1167.72,1074.29,-87.6303417675661,41.8672722402853,-87.6281260867678,41.86738964411191
435542925#0,683.63,1060.94,789.01,1071.93,-87.63395838701571,41.86723660651665,-87.63268943929587,41.86734274555589
435542926#0,979.78,793.12,972.26,1056.94,-87.63036760925645,41.86484396153674,-87.63047999553345,41.86722011182599
435561310#0,1404.94,1087.02,1368.83,1080.62,-87.62526857867624,41.86752038357813,-87.62570318484515,41.86746028368344
435561321#0,2476.33,1089.49,1515.12,1079.89,-87.61235827339512,41.86761516660384,-87.62394029466641,41.8674636110157
435561323,1505.62,588.6,1499.19,1024.88,-87.62401423438858,41.8630371131727,-87.62412771601196,41.86696696729386
435561326#0,1505.49,1032.83,1499.07,1062.35,-87.62405245546012,41.86703901248288,-87.62413225378543,41.86730451290777
435561332#0,1489.46,1447.38,1498.59,1094.84,-87.62427982641226,41.87077245895132,-87.62414071873374,41.86759717112336
435834767,250.35,1107.64,246.77,1414.4,-87.63918336933014,41.86762797751825,-87.63925182074045,41.87039122553839
435834768#0,113.88,1092.96,120.33,1083.03,-87.64082665461156,41.86748649184585,-87.64074811119939,41.86739747270792
445359457#0,746.78,1201.91,800.92,1088.48,-87.63320904600609,41.86851082965739,-87.63254728649252,41.86749264483778
488357314#1,1345.16,1087.37,1286.23,1080.17,-87.62598897103972,41.867519489575216,-87.62669849772767,41.8674506378848
56150137#1,1483.48,1086.05,1435.31,1082.29,-87.62432207260963,41.86751696225147,-87.62490222253363,41.86747982872013
56150137#2,1420.85,1085.41,1412.95,1082.22,-87.62507672647624,41.86750695675381,-87.62517166017537,41.86747768437292
56150140,291.24,1060.15,675.55,1067.25,-87.63868671640299,41.867202925407405,-87.63405627362746,41.86729290402923
625621676#0,1424.89,1283.98,1426.43,1091.02,-87.62504442800994,41.86929607588508,-87.62500994901954,41.86755787298237
626290592,1160.47,1085.57,1024.82,1077.68,-87.6282143817657,41.86749077075479,-87.6298483461085,41.867410509260345
626352352#1,975.65,1090.24,974.09,1200.77,-87.63044189287925,41.8675203290338,-87.63046981136686,41.868515948394055
740147205#0,1363.08,628.22,1360.12,1038.3,-87.62573514507093,41.86338438571691,-87.62580465052534,41.86707844838661
740147205#1,1363.26,1046.32,1359.95,1062.63,-87.62576747451502,41.86715091025261,-87.62580870659632,41.86729761708706
904944343#1,959.48,1083.09,894.81,1076.45,-87.6306361553325,41.86745482257078,-87.63141489661821,41.86739062712831
904944345#1,965.06,1056.92,964.86,929.4,-87.63056675562768,41.86721944422273,-87.63055864367865,41.86607064892058
95357377#0,960.39,1314.22,968.4,1090.18,-87.63064426073248,41.86953705112094,-87.6305292521851,41.8675192977
980841225#1,811.58,1064.32,894.17,1071.24,-87.63241683740705,41.86727571776524,-87.63142217888301,41.86734364878718
990453574#1,1435.62,1068.04,1483.58,1077.55,-87.62489731115501,41.86735147658788,-87.62432016622891,41.86744039558203
E0,1351.44,1329.07,1357.14,1093.02,-87.62593323879601,41.86969730299121,-87.62584507533286,41.8675711994209
E1,1362.07,1094.89,1360.94,1222.59,-87.6257858219368,41.86758837933203,-87.62580997556033,41.86873870615012
